"Taxonomic Group","Name","Year","Invasion Status","Population Status","Vectors"
"Algae","Bonnemaisonia hamifera","1957","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Codium fragile ssp. Fragile","1964","Definite","Established","Ballast Water, Canal, Hull Fouling, Natural Dispersal, Oyster Accidental"
"Algae","Colpomenia peregrina*","1970","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Dasysiphonia japonica","2010","Definite","Established","Ballast Water, Hull Fouling, Natural Dispersal"
"Algae","Dumontia contorta*","1913","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Fucus serratus*","1948","Definite","Established","Dry Ballast, Hull Fouling"
"Algae","Gracilaria vermiculophylla","2000","Definite","Established","Ballast Water, Hull Fouling, Natural Dispersal"
"Algae","Grateloupia turuturu","2007","Definite","Established","Ballast Water, Canal, Hull Fouling"
"Algae","Leptosiphonia brodiei*","None","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Lomentaria clavellosa*","1963","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Lomentaria orcadensis*","1873","Definite","Established","Hull Fouling"
"Algae","Melanosiphon intestinalis*","19","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Neopyropia katadae*","2005","Definite","Established","Ballast Water, Fisheries Accidental (not Oyster), Hull Fouling"
"Algae","Neopyropia koreana*","2004","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Neopyropia yezoensis*","1965","Definite","Established","Ballast Water, Fisheries Accidental (not Oyster), Hull Fouling"
"Algae","Phycocalidia suborbiculata*","2017","Definite","Established","None"
"Algae","Striaria attenuata*","1985","Definite","Established","Ballast Water, Hull Fouling"
"Algae","Ulonema rhizophorum*","1969","Definite","Established","Hull Fouling"
"Algae","Ulva australis","1966","Definite","Established","Ballast Water, Hull Fouling"
"Annelids-Polychaetes","Hediste diversicolor","1922","Definite","Established","Ballast Water, Dry Ballast"
"Annelids-Polychaetes","Janua heterostropha","2000","Definite","Established","Hull Fouling"
"Annelids-Polychaetes","Polydora onagawaensis*","2018","Definite","Established","Oyster Accidental"
"Arthropoda-Insects","Anisolabis maritima","1911","Definite","Established","Cargo, Discarded Bait"
"Arthropoda-Insects","Chilacis typhae*","1993","Definite","Established","None"
"Arthropoda-Insects","Galerucella calmariensis*","1998","Definite","Established","None"
"Arthropoda-Insects","Galerucella pusilla*","1998","Definite","Established","None"
"Arthropoda-Insects","Nacerdes melanura*","None","Definite","Established","None"
"Arthropoda-Insects","Petrobius brevistylis*","1956","Definite","Established","Cargo, Dry Ballast"
"Arthropoda-Insects","Pselactus spadix*","1936","Definite","Established","Cargo, Hull Fouling"
"Arthropoda-Insects","Sclerocona acutella*","2020","Definite","Established","None"
"Bryozoans","Bugula neritina","2000","Definite","Established","Hull Fouling"
"Bryozoans","Bugulina simplex","1982","Definite","Established","None"
"Bryozoans","Juxtacribrilina mutabilis","2018","Definite","Established","Hull Fouling"
"Bryozoans","Membranipora membranacea","1987","Definite","Established","Ballast Water, Hull Fouling"
"Bryozoans","Tricellaria inopinata","2013","Definite","Established","Hull Fouling"
"Cnidarians-Anthozoans","Diadumene lineata","1899","Definite","Established","Hull Fouling"
"Cnidarians-Hydrozoans","Cordylophora caspia","1912","Definite","Established","Hull Fouling"
"Cnidarians-Hydrozoans","Gonionemus vertens","1973","Definite","Established","Ballast Water, Hull Fouling, Oyster Accidental"
"Crustaceans-Amphipods","Caprella mutica","2000","Definite","Established","Ballast Water, Hull Fouling"
"Crustaceans-Amphipods","Chelura terebrans","1879","Definite","Established","Hull Fouling"
"Crustaceans-Amphipods","Corophium volutator","1924","Definite","Established","Ballast Water, Dry Ballast"
"Crustaceans-Amphipods","Grandidierella japonica","2018","Definite","Established","Ballast Water, Hull Fouling"
"Crustaceans-Amphipods","Microdeutopus gryllotalpa","1879","Definite","Established","Hull Fouling"
"Crustaceans-Amphipods","Orchestia gammarellus","1864","Definite","Established","Dry Ballast"
"Crustaceans-Barnacles","Chthamalus fragilis","1963","Definite","Established","Ballast Water, Canal, Hull Fouling"
"Crustaceans-Crabs","Carcinus maenas","1872","Definite","Established","Dry Ballast, Hull Fouling, Natural Dispersal"
"Crustaceans-Crabs","Hemigrapsus sanguineus","1994","Definite","Established","Ballast Water, Canal, Hull Fouling, Natural Dispersal"
"Crustaceans-Isopods","Ianiropsis serricaudis","2007","Definite","Established","Ballast Water, Hull Fouling"
"Crustaceans-Isopods","Ligia oceanica","1933","Definite","Established","Cargo, Dry Ballast"
"Crustaceans-Mysids","Praunus flexuosus","1960","Definite","Established","Ballast Water"
"Crustaceans-Shrimp","Palaemon elegans","2010","Definite","Established","Ballast Water"
"Crustaceans-Shrimp","Palaemon macrodactylus","2012","Definite","Established","Ballast Water"
"Fishes","Ameiurus catus","1949","Definite","Established","None"
"Fishes","Cyprinus carpio","1880","Definite","Established","None"
"Fishes","Esox lucius*","2011","Definite","Established","None"
"Fishes","Lepomis macrochirus","None","Definite","Established","None"
"Fishes","Micropterus dolomieu","1868","Definite","Established","None"
"Fishes","Micropterus salmoides","1940","Definite","Established","None"
"Fishes","Pimephales promelas","1999","Definite","Established","None"
"Fishes","Pomoxis nigromaculatus","1983","Definite","Established","None"
"Fishes","Salmo trutta*","1885","Definite","Established","Fisheries Intentional"
"Mollusks-Bivalves","Corbicula fluminea","2015","Definite","Established","None"
"Mollusks-Bivalves","Mytilopsis leucophaeata","1995","Definite","Established","Ballast Water, Hull Fouling"
"Mollusks-Bivalves","Ostrea edulis","1949","Definite","Established","Oyster Intentional"
"Mollusks-Bivalves","Teredo navalis","1893","Definite","Established","Ballast Water, Hull Fouling, Natural Dispersal"
"Mollusks-Gastropods","Duvaucelia plebeia","1983","Definite","Established","Ballast Water, Hull Fouling"
"Mollusks-Gastropods","Littorina littorea","1861","Definite","Established","Dry Ballast, Hull Fouling, Natural Dispersal"
"Mollusks-Gastropods","Myosotella myosotis","1841","Definite","Established","Cargo, Dry Ballast"
"Mollusks-Nudibranchs","Doris pseudoargus","2017","Definite","Established","None"
"Nematodes","Anguillicola crassus*","2005","Definite","Established","Ballast Water, Fisheries Accidental (not Oyster), Natural Dispersal"
"Platyhelminthes","Convoluta convoluta*","1995","Definite","Established","Ballast Water, Hull Fouling"
"Platyhelminthes","Cryptocotyle lingua*","1956","Definite","Established","Dry Ballast, Fisheries Accidental (not Oyster), Fisheries Intentional, Hull Fouling"
"Platyhelminthes","Pseudodactylogyrus anguillae*","1992","Definite","Established","Ballast Water, Fisheries Accidental (not Oyster)"
"Protozoans","Bonamia ostreae*","1991","Definite","Established","Oyster Accidental"
"Protozoans","Haplosporidium nelsoni*","1967","Definite","Established","Ballast Water, Hull Fouling, Oyster Accidental"
"Protozoans","Perkinsus marinus*","1991","Definite","Established","Oyster Accidental"
"Tunicates","Ascidiella aspersa","2000","Definite","Established","Hull Fouling"
"Tunicates","Botrylloides violaceus","1981","Definite","Established","Hull Fouling"
"Tunicates","Ciona intestinalis","2018","Definite","Established","None"
"Tunicates","Ciona intestinalis","1838","Definite","Established","Hull Fouling"
"Tunicates","Didemnum vexillum","1982","Definite","Established","Hull Fouling"
"Tunicates","Diplosoma listerianum","1981","Definite","Established","Hull Fouling"
"Tunicates","Styela canopus","1852","Definite","Established","Hull Fouling"
"Tunicates","Styela clava","1970","Definite","Established","Hull Fouling"
